fname,iD,length,label
audiodata/wav/turdus_merula/turdus_merula_434256.wav,434256,85,12
audiodata/wav/turdus_merula/turdus_merula_374420.wav,374420,44,12
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_463365.wav,463365,53,3
audiodata/wav/parus_major/parus_major_44963.wav,44963,27,6
audiodata/wav/turdus_merula/turdus_merula_434202.wav,434202,59,12
audiodata/wav/carduelis_carduelis/carduelis_carduelis_489265.wav,489265,27,5
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_395044.wav,395044,44,4
audiodata/wav/hirundo_rustica/hirundo_rustica_512993.wav,512993,49,10
audiodata/wav/erithacus_rubecula/erithacus_rubecula_127452.wav,127452,94,8
audiodata/wav/parus_major/parus_major_96822.wav,96822,24,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_138431.wav,138431,82,8
audiodata/wav/turdus_merula/turdus_merula_434859.wav,434859,76,12
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_540556.wav,540556,30,3
audiodata/wav/erithacus_rubecula/erithacus_rubecula_412557.wav,412557,48,8
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_26143.wav,26143,93,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_177396.wav,177396,71,7
audiodata/wav/hirundo_rustica/hirundo_rustica_309701.wav,309701,33,10
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_452318.wav,452318,30,4
audiodata/wav/erithacus_rubecula/erithacus_rubecula_287183.wav,287183,22,8
audiodata/wav/turdus_merula/turdus_merula_97643.wav,97643,64,12
audiodata/wav/turdus_merula/turdus_merula_316305.wav,316305,83,12
audiodata/wav/fringilla_coelebs/fringilla_coelebs_411281.wav,411281,96,7
audiodata/wav/erithacus_rubecula/erithacus_rubecula_510540.wav,510540,13,8
audiodata/wav/parus_major/parus_major_180727.wav,180727,41,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_403033.wav,403033,30,7
audiodata/wav/fringilla_coelebs/fringilla_coelebs_365637.wav,365637,60,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_431690.wav,431690,48,4
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_324304.wav,324304,33,4
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_284150.wav,284150,10,0
audiodata/wav/parus_major/parus_major_330380.wav,330380,57,6
audiodata/wav/parus_major/parus_major_25669.wav,25669,30,6
audiodata/wav/parus_major/parus_major_548938.wav,548938,12,6
audiodata/wav/parus_major/parus_major_78162.wav,78162,58,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_516355.wav,516355,26,4
audiodata/wav/hirundo_rustica/hirundo_rustica_176624.wav,176624,37,10
audiodata/wav/erithacus_rubecula/erithacus_rubecula_215370.wav,215370,95,8
audiodata/wav/parus_major/parus_major_94652.wav,94652,15,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_462991.wav,462991,23,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_374395.wav,374395,85,0
audiodata/wav/parus_major/parus_major_149824.wav,149824,44,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_358877.wav,358877,19,4
audiodata/wav/passer_domesticus/passer_domesticus_512608.wav,512608,13,9
audiodata/wav/hirundo_rustica/hirundo_rustica_385612.wav,385612,29,10
audiodata/wav/turdus_merula/turdus_merula_129469.wav,129469,92,12
audiodata/wav/regulus_regulus/regulus_regulus_397313.wav,397313,41,2
audiodata/wav/regulus_regulus/regulus_regulus_56177.wav,56177,28,2
audiodata/wav/parus_major/parus_major_153825.wav,153825,32,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_539120.wav,539120,17,8
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_467953.wav,467953,36,3
audiodata/wav/hirundo_rustica/hirundo_rustica_281323.wav,281323,14,10
audiodata/wav/erithacus_rubecula/erithacus_rubecula_308188.wav,308188,92,8
audiodata/wav/carduelis_carduelis/carduelis_carduelis_195304.wav,195304,29,5
audiodata/wav/hirundo_rustica/hirundo_rustica_141346.wav,141346,24,10
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_240007.wav,240007,41,4
audiodata/wav/parus_major/parus_major_469314.wav,469314,85,6
audiodata/wav/parus_major/parus_major_339656.wav,339656,64,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_308004.wav,308004,63,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_281732.wav,281732,56,0
audiodata/wav/linaria_cannabina/linaria_cannabina_367061.wav,367061,74,1
audiodata/wav/parus_major/parus_major_303404.wav,303404,48,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_459747.wav,459747,20,4
audiodata/wav/linaria_cannabina/linaria_cannabina_80638.wav,80638,21,1
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_546091.wav,546091,76,4
audiodata/wav/parus_major/parus_major_308210.wav,308210,26,6
audiodata/wav/parus_major/parus_major_312684.wav,312684,98,6
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_171609.wav,171609,25,3
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_525300.wav,525300,78,3
audiodata/wav/hirundo_rustica/hirundo_rustica_485999.wav,485999,10,10
audiodata/wav/parus_major/parus_major_529801.wav,529801,89,6
audiodata/wav/regulus_regulus/regulus_regulus_234384.wav,234384,25,2
audiodata/wav/parus_major/parus_major_406508.wav,406508,65,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_312476.wav,312476,38,0
audiodata/wav/parus_major/parus_major_344670.wav,344670,59,6
audiodata/wav/parus_major/parus_major_170398.wav,170398,71,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_337807.wav,337807,36,0
audiodata/wav/parus_major/parus_major_108277.wav,108277,63,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_501783.wav,501783,35,8
audiodata/wav/parus_major/parus_major_214844.wav,214844,75,6
audiodata/wav/carduelis_carduelis/carduelis_carduelis_175967.wav,175967,11,5
audiodata/wav/regulus_regulus/regulus_regulus_389713.wav,389713,57,2
audiodata/wav/turdus_merula/turdus_merula_76582.wav,76582,16,12
audiodata/wav/carduelis_carduelis/carduelis_carduelis_401243.wav,401243,48,5
audiodata/wav/erithacus_rubecula/erithacus_rubecula_438359.wav,438359,77,8
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_72781.wav,72781,41,3
audiodata/wav/fringilla_coelebs/fringilla_coelebs_214666.wav,214666,17,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_173647.wav,173647,38,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_480913.wav,480913,43,7
audiodata/wav/erithacus_rubecula/erithacus_rubecula_336975.wav,336975,37,8
audiodata/wav/parus_major/parus_major_160981.wav,160981,63,6
audiodata/wav/regulus_regulus/regulus_regulus_257163.wav,257163,15,2
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_464840.wav,464840,61,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_75655.wav,75655,78,7
audiodata/wav/fringilla_coelebs/fringilla_coelebs_546152.wav,546152,51,7
audiodata/wav/passer_domesticus/passer_domesticus_351547.wav,351547,10,9
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_74818.wav,74818,23,3
audiodata/wav/carduelis_carduelis/carduelis_carduelis_180030.wav,180030,40,5
audiodata/wav/hirundo_rustica/hirundo_rustica_423687.wav,423687,42,10
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_179704.wav,179704,75,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_467951.wav,467951,35,7
audiodata/wav/erithacus_rubecula/erithacus_rubecula_314552.wav,314552,56,8
audiodata/wav/fringilla_coelebs/fringilla_coelebs_312494.wav,312494,50,7
audiodata/wav/parus_major/parus_major_367608.wav,367608,25,6
audiodata/wav/carduelis_carduelis/carduelis_carduelis_270239.wav,270239,70,5
audiodata/wav/passer_domesticus/passer_domesticus_513501.wav,513501,29,9
audiodata/wav/fringilla_coelebs/fringilla_coelebs_96308.wav,96308,63,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_121963.wav,121963,32,4
audiodata/wav/parus_major/parus_major_169054.wav,169054,57,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_253288.wav,253288,76,8
audiodata/wav/fringilla_coelebs/fringilla_coelebs_480768.wav,480768,13,7
audiodata/wav/parus_major/parus_major_362734.wav,362734,31,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_406572.wav,406572,72,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_546138.wav,546138,69,7
audiodata/wav/parus_major/parus_major_48258.wav,48258,34,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_359482.wav,359482,38,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_109927.wav,109927,27,7
audiodata/wav/parus_major/parus_major_411007.wav,411007,50,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_97740.wav,97740,51,7
audiodata/wav/parus_major/parus_major_127480.wav,127480,70,6
audiodata/wav/turdus_merula/turdus_merula_387459.wav,387459,82,12
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_281575.wav,281575,65,4
audiodata/wav/turdus_merula/turdus_merula_172457.wav,172457,19,12
audiodata/wav/regulus_regulus/regulus_regulus_190981.wav,190981,17,2
audiodata/wav/fringilla_coelebs/fringilla_coelebs_265526.wav,265526,45,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_352835.wav,352835,87,0
audiodata/wav/erithacus_rubecula/erithacus_rubecula_150308.wav,150308,14,8
audiodata/wav/parus_major/parus_major_167420.wav,167420,25,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_317431.wav,317431,10,7
audiodata/wav/parus_major/parus_major_177409.wav,177409,35,6
audiodata/wav/passer_domesticus/passer_domesticus_481091.wav,481091,13,9
audiodata/wav/parus_major/parus_major_269612.wav,269612,11,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_106771.wav,106771,73,7
audiodata/wav/turdus_merula/turdus_merula_262786.wav,262786,16,12
audiodata/wav/erithacus_rubecula/erithacus_rubecula_133407.wav,133407,21,8
audiodata/wav/parus_major/parus_major_494185.wav,494185,78,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_482887.wav,482887,64,7
audiodata/wav/fringilla_coelebs/fringilla_coelebs_56125.wav,56125,18,7
audiodata/wav/regulus_regulus/regulus_regulus_363758.wav,363758,21,2
audiodata/wav/passer_domesticus/passer_domesticus_5954.wav,5954,42,9
audiodata/wav/fringilla_coelebs/fringilla_coelebs_376663.wav,376663,36,7
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_317874.wav,317874,34,4
audiodata/wav/parus_major/parus_major_342539.wav,342539,78,6
audiodata/wav/parus_major/parus_major_129183.wav,129183,20,6
audiodata/wav/cyanistes_caeruleus/cyanistes_caeruleus_456895.wav,456895,19,3
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_332564.wav,332564,43,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_198171.wav,198171,30,7
audiodata/wav/erithacus_rubecula/erithacus_rubecula_355281.wav,355281,32,8
audiodata/wav/erithacus_rubecula/erithacus_rubecula_213377.wav,213377,69,8
audiodata/wav/fringilla_coelebs/fringilla_coelebs_76109.wav,76109,21,7
audiodata/wav/regulus_regulus/regulus_regulus_43585.wav,43585,11,2
audiodata/wav/parus_major/parus_major_170629.wav,170629,27,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_88850.wav,88850,57,7
audiodata/wav/fringilla_coelebs/fringilla_coelebs_34037.wav,34037,49,7
audiodata/wav/linaria_cannabina/linaria_cannabina_216423.wav,216423,29,1
audiodata/wav/hirundo_rustica/hirundo_rustica_176625.wav,176625,59,10
audiodata/wav/erithacus_rubecula/erithacus_rubecula_411988.wav,411988,54,8
audiodata/wav/fringilla_coelebs/fringilla_coelebs_253478.wav,253478,64,7
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_468951.wav,468951,46,0
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_546818.wav,546818,25,4
audiodata/wav/erithacus_rubecula/erithacus_rubecula_324779.wav,324779,56,8
audiodata/wav/parus_major/parus_major_545633.wav,545633,21,6
audiodata/wav/fringilla_coelebs/fringilla_coelebs_537811.wav,537811,10,7
audiodata/wav/erithacus_rubecula/erithacus_rubecula_309127.wav,309127,98,8
audiodata/wav/parus_major/parus_major_198422.wav,198422,10,6
audiodata/wav/parus_major/parus_major_67097.wav,67097,29,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_545154.wav,545154,73,8
audiodata/wav/parus_major/parus_major_531126.wav,531126,49,6
audiodata/wav/hirundo_rustica/hirundo_rustica_432092.wav,432092,11,10
audiodata/wav/parus_major/parus_major_161852.wav,161852,85,6
audiodata/wav/erithacus_rubecula/erithacus_rubecula_115653.wav,115653,21,8
audiodata/wav/parus_major/parus_major_408786.wav,408786,33,6
audiodata/wav/carduelis_carduelis/carduelis_carduelis_231485.wav,231485,49,5
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_152769.wav,152769,96,4
audiodata/wav/parus_major/parus_major_309830.wav,309830,57,6
audiodata/wav/linaria_cannabina/linaria_cannabina_480882.wav,480882,11,1
audiodata/wav/fringilla_coelebs/fringilla_coelebs_385276.wav,385276,20,7
audiodata/wav/parus_major/parus_major_193518.wav,193518,75,6
audiodata/wav/parus_major/parus_major_131611.wav,131611,37,6
audiodata/wav/parus_major/parus_major_260320.wav,260320,21,6
audiodata/wav/parus_major/parus_major_147242.wav,147242,50,6
audiodata/wav/phylloscopus_collybita/phylloscopus_collybita_36902.wav,36902,30,4
audiodata/wav/fringilla_coelebs/fringilla_coelebs_349845.wav,349845,21,7
audiodata/wav/fringilla_coelebs/fringilla_coelebs_104481.wav,104481,21,7
audiodata/wav/passer_domesticus/passer_domesticus_467231.wav,467231,37,9
audiodata/wav/parus_major/parus_major_233178.wav,233178,38,6
audiodata/wav/sturnus_vulgaris/sturnus_vulgaris_361481.wav,361481,16,0
audiodata/wav/erithacus_rubecula/erithacus_rubecula_140083.wav,140083,58,8
audiodata/wav/parus_major/parus_major_462499.wav,462499,73,6
