iD,quality,length,country,url,birdName
383673,A,56,Norway,www.xeno-canto.org/383673/download,Sturnus vulgaris
383672,A,52,Norway,www.xeno-canto.org/383672/download,Sturnus vulgaris
374395,A,85,Romania,www.xeno-canto.org/374395/download,Sturnus vulgaris
371511,A,73,Sweden,www.xeno-canto.org/371511/download,Sturnus vulgaris
370477,A,60,South Africa,www.xeno-canto.org/370477/download,Sturnus vulgaris
367552,A,22,Norway,www.xeno-canto.org/367552/download,Sturnus vulgaris
364921,A,66,Ukraine,www.xeno-canto.org/364921/download,Sturnus vulgaris
361635,A,52,Norway,www.xeno-canto.org/361635/download,Sturnus vulgaris
361481,A,16,United States,www.xeno-canto.org/361481/download,Sturnus vulgaris
352835,A,87,Ireland,www.xeno-canto.org/352835/download,Sturnus vulgaris
349810,A,38,Finland,www.xeno-canto.org/349810/download,Sturnus vulgaris
349809,A,44,Finland,www.xeno-canto.org/349809/download,Sturnus vulgaris
337807,A,36,France,www.xeno-canto.org/337807/download,Sturnus vulgaris
337424,A,41,France,www.xeno-canto.org/337424/download,Sturnus vulgaris
328402,A,89,Poland,www.xeno-canto.org/328402/download,Sturnus vulgaris
327881,A,42,Poland,www.xeno-canto.org/327881/download,Sturnus vulgaris
327880,A,22,Poland,www.xeno-canto.org/327880/download,Sturnus vulgaris
322542,A,56,Denmark,www.xeno-canto.org/322542/download,Sturnus vulgaris
313810,A,60,Norway,www.xeno-canto.org/313810/download,Sturnus vulgaris
313377,A,36,Latvia,www.xeno-canto.org/313377/download,Sturnus vulgaris
313375,A,43,Latvia,www.xeno-canto.org/313375/download,Sturnus vulgaris
313343,A,10,Russian Federation,www.xeno-canto.org/313343/download,Sturnus vulgaris
312476,A,38,Estonia,www.xeno-canto.org/312476/download,Sturnus vulgaris
306693,A,30,Germany,www.xeno-canto.org/306693/download,Sturnus vulgaris
306104,A,91,Ukraine,www.xeno-canto.org/306104/download,Sturnus vulgaris
306051,A,61,Ukraine,www.xeno-canto.org/306051/download,Sturnus vulgaris
301684,A,88,United States,www.xeno-canto.org/301684/download,Sturnus vulgaris
295918,A,55,Finland,www.xeno-canto.org/295918/download,Sturnus vulgaris
295916,A,59,Finland,www.xeno-canto.org/295916/download,Sturnus vulgaris
290451,A,50,Sweden,www.xeno-canto.org/290451/download,Sturnus vulgaris
284737,A,22,Finland,www.xeno-canto.org/284737/download,Sturnus vulgaris
284378,A,39,Australia,www.xeno-canto.org/284378/download,Sturnus vulgaris
284155,A,32,Finland,www.xeno-canto.org/284155/download,Sturnus vulgaris
284153,A,27,Finland,www.xeno-canto.org/284153/download,Sturnus vulgaris
281735,A,15,Belgium,www.xeno-canto.org/281735/download,Sturnus vulgaris
281733,A,29,Belgium,www.xeno-canto.org/281733/download,Sturnus vulgaris
281732,A,56,Belgium,www.xeno-canto.org/281732/download,Sturnus vulgaris
276957,A,24,Germany,www.xeno-canto.org/276957/download,Sturnus vulgaris
263969,A,69,Norway,www.xeno-canto.org/263969/download,Sturnus vulgaris
240096,A,10,Germany,www.xeno-canto.org/240096/download,Sturnus vulgaris
234475,A,68,Finland,www.xeno-canto.org/234475/download,Sturnus vulgaris
234474,A,58,Finland,www.xeno-canto.org/234474/download,Sturnus vulgaris
213464,A,68,Finland,www.xeno-canto.org/213464/download,Sturnus vulgaris
211962,A,79,Sweden,www.xeno-canto.org/211962/download,Sturnus vulgaris
210267,A,28,Norway,www.xeno-canto.org/210267/download,Sturnus vulgaris
175663,A,20,Russian Federation,www.xeno-canto.org/175663/download,Sturnus vulgaris
172964,A,28,Poland,www.xeno-canto.org/172964/download,Sturnus vulgaris
162221,A,32,France,www.xeno-canto.org/162221/download,Sturnus vulgaris
145091,A,77,Kazakhstan,www.xeno-canto.org/145091/download,Sturnus vulgaris
142698,A,68,France,www.xeno-canto.org/142698/download,Sturnus vulgaris
133389,A,22,Poland,www.xeno-canto.org/133389/download,Sturnus vulgaris
129217,A,62,Poland,www.xeno-canto.org/129217/download,Sturnus vulgaris
128710,A,16,Germany,www.xeno-canto.org/128710/download,Sturnus vulgaris
127302,A,33,Norway,www.xeno-canto.org/127302/download,Sturnus vulgaris
101936,A,24,United Kingdom,www.xeno-canto.org/101936/download,Sturnus vulgaris
74972,A,42,Germany,www.xeno-canto.org/74972/download,Sturnus vulgaris
48067,A,48,Argentina,www.xeno-canto.org/48067/download,Sturnus vulgaris
27154,A,65,Sweden,www.xeno-canto.org/27154/download,Sturnus vulgaris
544706,B,23,United Kingdom,www.xeno-canto.org/544706/download,Sturnus vulgaris
542755,B,49,France,www.xeno-canto.org/542755/download,Sturnus vulgaris
537942,B,22,Poland,www.xeno-canto.org/537942/download,Sturnus vulgaris
530561,B,32,Poland,www.xeno-canto.org/530561/download,Sturnus vulgaris
527723,B,36,France,www.xeno-canto.org/527723/download,Sturnus vulgaris
520602,B,41,United Kingdom,www.xeno-canto.org/520602/download,Sturnus vulgaris
513202,B,21,Italy,www.xeno-canto.org/513202/download,Sturnus vulgaris
509462,B,50,France,www.xeno-canto.org/509462/download,Sturnus vulgaris
503966,B,34,France,www.xeno-canto.org/503966/download,Sturnus vulgaris
502035,B,19,Finland,www.xeno-canto.org/502035/download,Sturnus vulgaris
495199,B,46,United States,www.xeno-canto.org/495199/download,Sturnus vulgaris
493403,B,86,France,www.xeno-canto.org/493403/download,Sturnus vulgaris
488470,B,63,Portugal,www.xeno-canto.org/488470/download,Sturnus vulgaris
474427,B,28,France,www.xeno-canto.org/474427/download,Sturnus vulgaris
468952,B,48,Germany,www.xeno-canto.org/468952/download,Sturnus vulgaris
468951,B,46,Germany,www.xeno-canto.org/468951/download,Sturnus vulgaris
463192,B,85,Poland,www.xeno-canto.org/463192/download,Sturnus vulgaris
459033,B,30,United Kingdom,www.xeno-canto.org/459033/download,Sturnus vulgaris
455386,B,88,Portugal,www.xeno-canto.org/455386/download,Sturnus vulgaris
455102,B,15,Iceland,www.xeno-canto.org/455102/download,Sturnus vulgaris
454578,B,50,United Kingdom,www.xeno-canto.org/454578/download,Sturnus vulgaris
454511,B,24,Netherlands,www.xeno-canto.org/454511/download,Sturnus vulgaris
453078,B,54,United States,www.xeno-canto.org/453078/download,Sturnus vulgaris
453077,B,96,United States,www.xeno-canto.org/453077/download,Sturnus vulgaris
452292,B,60,United Kingdom,www.xeno-canto.org/452292/download,Sturnus vulgaris
445795,B,23,United States,www.xeno-canto.org/445795/download,Sturnus vulgaris
442793,B,59,Germany,www.xeno-canto.org/442793/download,Sturnus vulgaris
442791,B,30,Germany,www.xeno-canto.org/442791/download,Sturnus vulgaris
408221,B,34,France,www.xeno-canto.org/408221/download,Sturnus vulgaris
408220,B,28,France,www.xeno-canto.org/408220/download,Sturnus vulgaris
404967,B,47,United States,www.xeno-canto.org/404967/download,Sturnus vulgaris
387368,B,67,Ukraine,www.xeno-canto.org/387368/download,Sturnus vulgaris
378335,B,10,Denmark,www.xeno-canto.org/378335/download,Sturnus vulgaris
370707,B,38,South Africa,www.xeno-canto.org/370707/download,Sturnus vulgaris
367538,B,46,Sweden,www.xeno-canto.org/367538/download,Sturnus vulgaris
366693,B,58,Poland,www.xeno-canto.org/366693/download,Sturnus vulgaris
365087,B,52,France,www.xeno-canto.org/365087/download,Sturnus vulgaris
361999,B,82,France,www.xeno-canto.org/361999/download,Sturnus vulgaris
361755,B,90,United States,www.xeno-canto.org/361755/download,Sturnus vulgaris
361483,B,45,United States,www.xeno-canto.org/361483/download,Sturnus vulgaris
361482,B,32,United States,www.xeno-canto.org/361482/download,Sturnus vulgaris
358945,B,86,Netherlands,www.xeno-canto.org/358945/download,Sturnus vulgaris
348333,B,16,Switzerland,www.xeno-canto.org/348333/download,Sturnus vulgaris
321476,B,16,Germany,www.xeno-canto.org/321476/download,Sturnus vulgaris
315191,B,12,United Kingdom,www.xeno-canto.org/315191/download,Sturnus vulgaris
314200,B,11,United Kingdom,www.xeno-canto.org/314200/download,Sturnus vulgaris
312822,B,58,Poland,www.xeno-canto.org/312822/download,Sturnus vulgaris
311946,B,10,Russian Federation,www.xeno-canto.org/311946/download,Sturnus vulgaris
306858,B,10,United States,www.xeno-canto.org/306858/download,Sturnus vulgaris
298381,B,16,France,www.xeno-canto.org/298381/download,Sturnus vulgaris
298112,B,19,France,www.xeno-canto.org/298112/download,Sturnus vulgaris
284736,B,33,Finland,www.xeno-canto.org/284736/download,Sturnus vulgaris
284154,B,19,Finland,www.xeno-canto.org/284154/download,Sturnus vulgaris
284151,B,23,Finland,www.xeno-canto.org/284151/download,Sturnus vulgaris
284150,B,10,Finland,www.xeno-canto.org/284150/download,Sturnus vulgaris
234593,B,30,Romania,www.xeno-canto.org/234593/download,Sturnus vulgaris
211955,B,35,Sweden,www.xeno-canto.org/211955/download,Sturnus vulgaris
200099,B,37,France,www.xeno-canto.org/200099/download,Sturnus vulgaris
199315,B,64,Russian Federation,www.xeno-canto.org/199315/download,Sturnus vulgaris
197290,B,22,United States,www.xeno-canto.org/197290/download,Sturnus vulgaris
197289,B,21,United States,www.xeno-canto.org/197289/download,Sturnus vulgaris
178948,B,71,Italy,www.xeno-canto.org/178948/download,Sturnus vulgaris
177428,B,21,Germany,www.xeno-canto.org/177428/download,Sturnus vulgaris
175673,B,97,Russian Federation,www.xeno-canto.org/175673/download,Sturnus vulgaris
175666,B,74,Russian Federation,www.xeno-canto.org/175666/download,Sturnus vulgaris
175343,B,14,Netherlands,www.xeno-canto.org/175343/download,Sturnus vulgaris
175171,B,10,Russian Federation,www.xeno-canto.org/175171/download,Sturnus vulgaris
175164,B,10,Russian Federation,www.xeno-canto.org/175164/download,Sturnus vulgaris
172783,B,61,Poland,www.xeno-canto.org/172783/download,Sturnus vulgaris
172587,B,26,Germany,www.xeno-canto.org/172587/download,Sturnus vulgaris
165720,B,27,Switzerland,www.xeno-canto.org/165720/download,Sturnus vulgaris
160398,B,48,Canada,www.xeno-canto.org/160398/download,Sturnus vulgaris
159854,B,34,Canada,www.xeno-canto.org/159854/download,Sturnus vulgaris
158905,B,50,United Kingdom,www.xeno-canto.org/158905/download,Sturnus vulgaris
118345,B,88,Luxembourg,www.xeno-canto.org/118345/download,Sturnus vulgaris
112899,B,33,Netherlands,www.xeno-canto.org/112899/download,Sturnus vulgaris
101496,B,41,Netherlands,www.xeno-canto.org/101496/download,Sturnus vulgaris
99077,B,43,Germany,www.xeno-canto.org/99077/download,Sturnus vulgaris
84829,B,48,France,www.xeno-canto.org/84829/download,Sturnus vulgaris
78343,B,63,France,www.xeno-canto.org/78343/download,Sturnus vulgaris
70242,B,32,Netherlands,www.xeno-canto.org/70242/download,Sturnus vulgaris
66294,B,35,United Kingdom,www.xeno-canto.org/66294/download,Sturnus vulgaris
53097,B,48,Argentina,www.xeno-canto.org/53097/download,Sturnus vulgaris
46592,B,98,New Zealand,www.xeno-canto.org/46592/download,Sturnus vulgaris
40650,B,73,United Kingdom,www.xeno-canto.org/40650/download,Sturnus vulgaris
27996,B,56,United Kingdom,www.xeno-canto.org/27996/download,Sturnus vulgaris
535736,A,81,Ukraine,www.xeno-canto.org/535736/download,Linaria cannabina
535489,A,19,France,www.xeno-canto.org/535489/download,Linaria cannabina
535488,A,25,France,www.xeno-canto.org/535488/download,Linaria cannabina
530886,A,21,Italy,www.xeno-canto.org/530886/download,Linaria cannabina
511533,A,22,Spain,www.xeno-canto.org/511533/download,Linaria cannabina
510681,A,35,Italy,www.xeno-canto.org/510681/download,Linaria cannabina
510680,A,22,Italy,www.xeno-canto.org/510680/download,Linaria cannabina
502399,A,22,Sweden,www.xeno-canto.org/502399/download,Linaria cannabina
502397,A,18,Sweden,www.xeno-canto.org/502397/download,Linaria cannabina
500408,A,72,France,www.xeno-canto.org/500408/download,Linaria cannabina
500322,A,74,Netherlands,www.xeno-canto.org/500322/download,Linaria cannabina
484879,A,31,United Kingdom,www.xeno-canto.org/484879/download,Linaria cannabina
483247,A,51,Sweden,www.xeno-canto.org/483247/download,Linaria cannabina
481813,A,46,Italy,www.xeno-canto.org/481813/download,Linaria cannabina
480882,A,11,Azerbaijan,www.xeno-canto.org/480882/download,Linaria cannabina
477710,A,56,Germany,www.xeno-canto.org/477710/download,Linaria cannabina
468812,A,56,France,www.xeno-canto.org/468812/download,Linaria cannabina
467969,A,88,France,www.xeno-canto.org/467969/download,Linaria cannabina
466873,A,38,France,www.xeno-canto.org/466873/download,Linaria cannabina
463436,A,30,France,www.xeno-canto.org/463436/download,Linaria cannabina
462857,A,87,Portugal,www.xeno-canto.org/462857/download,Linaria cannabina
454166,A,74,Portugal,www.xeno-canto.org/454166/download,Linaria cannabina
454160,A,55,Portugal,www.xeno-canto.org/454160/download,Linaria cannabina
454158,A,22,Portugal,www.xeno-canto.org/454158/download,Linaria cannabina
451401,A,24,Portugal,www.xeno-canto.org/451401/download,Linaria cannabina
451400,A,30,Portugal,www.xeno-canto.org/451400/download,Linaria cannabina
448965,A,88,Ireland,www.xeno-canto.org/448965/download,Linaria cannabina
446578,A,84,Germany,www.xeno-canto.org/446578/download,Linaria cannabina
446577,A,30,Germany,www.xeno-canto.org/446577/download,Linaria cannabina
445591,A,14,Portugal,www.xeno-canto.org/445591/download,Linaria cannabina
445590,A,26,Portugal,www.xeno-canto.org/445590/download,Linaria cannabina
438418,A,49,France,www.xeno-canto.org/438418/download,Linaria cannabina
431210,A,10,France,www.xeno-canto.org/431210/download,Linaria cannabina
402261,A,98,Belgium,www.xeno-canto.org/402261/download,Linaria cannabina
386479,A,41,France,www.xeno-canto.org/386479/download,Linaria cannabina
374938,A,75,Germany,www.xeno-canto.org/374938/download,Linaria cannabina
367061,A,74,Poland,www.xeno-canto.org/367061/download,Linaria cannabina
358327,A,40,Spain,www.xeno-canto.org/358327/download,Linaria cannabina
350452,A,35,Estonia,www.xeno-canto.org/350452/download,Linaria cannabina
326642,A,89,Spain,www.xeno-canto.org/326642/download,Linaria cannabina
315116,A,52,Germany,www.xeno-canto.org/315116/download,Linaria cannabina
310040,A,45,Netherlands,www.xeno-canto.org/310040/download,Linaria cannabina
292580,A,90,France,www.xeno-canto.org/292580/download,Linaria cannabina
281786,A,95,Netherlands,www.xeno-canto.org/281786/download,Linaria cannabina
281785,A,73,Belgium,www.xeno-canto.org/281785/download,Linaria cannabina
270313,A,29,France,www.xeno-canto.org/270313/download,Linaria cannabina
270311,A,40,France,www.xeno-canto.org/270311/download,Linaria cannabina
237257,A,43,Sweden,www.xeno-canto.org/237257/download,Linaria cannabina
234546,A,65,Finland,www.xeno-canto.org/234546/download,Linaria cannabina
196251,A,52,United Kingdom,www.xeno-canto.org/196251/download,Linaria cannabina
188736,A,50,United Kingdom,www.xeno-canto.org/188736/download,Linaria cannabina
187901,A,56,United Kingdom,www.xeno-canto.org/187901/download,Linaria cannabina
187838,A,33,United Kingdom,www.xeno-canto.org/187838/download,Linaria cannabina
187100,A,17,Poland,www.xeno-canto.org/187100/download,Linaria cannabina
181118,A,71,Italy,www.xeno-canto.org/181118/download,Linaria cannabina
169474,A,37,United Kingdom,www.xeno-canto.org/169474/download,Linaria cannabina
161922,A,33,France,www.xeno-canto.org/161922/download,Linaria cannabina
145535,A,29,United Kingdom,www.xeno-canto.org/145535/download,Linaria cannabina
142417,A,35,Netherlands,www.xeno-canto.org/142417/download,Linaria cannabina
139168,A,52,Spain,www.xeno-canto.org/139168/download,Linaria cannabina
127550,A,55,Denmark,www.xeno-canto.org/127550/download,Linaria cannabina
120709,A,56,Poland,www.xeno-canto.org/120709/download,Linaria cannabina
120708,A,34,Poland,www.xeno-canto.org/120708/download,Linaria cannabina
107148,A,93,Sweden,www.xeno-canto.org/107148/download,Linaria cannabina
101996,A,50,Denmark,www.xeno-canto.org/101996/download,Linaria cannabina
101116,A,85,Poland,www.xeno-canto.org/101116/download,Linaria cannabina
101114,A,18,Poland,www.xeno-canto.org/101114/download,Linaria cannabina
84075,A,54,Sweden,www.xeno-canto.org/84075/download,Linaria cannabina
80723,A,70,Germany,www.xeno-canto.org/80723/download,Linaria cannabina
76854,A,38,Italy,www.xeno-canto.org/76854/download,Linaria cannabina
76853,A,25,Italy,www.xeno-canto.org/76853/download,Linaria cannabina
76100,A,23,Germany,www.xeno-canto.org/76100/download,Linaria cannabina
72608,A,39,Germany,www.xeno-canto.org/72608/download,Linaria cannabina
35034,A,17,Netherlands,www.xeno-canto.org/35034/download,Linaria cannabina
32832,A,40,Netherlands,www.xeno-canto.org/32832/download,Linaria cannabina
540780,B,23,Portugal,www.xeno-canto.org/540780/download,Linaria cannabina
539552,B,59,Finland,www.xeno-canto.org/539552/download,Linaria cannabina
522350,B,42,Spain,www.xeno-canto.org/522350/download,Linaria cannabina
508555,B,15,Portugal,www.xeno-canto.org/508555/download,Linaria cannabina
496046,B,31,United Kingdom,www.xeno-canto.org/496046/download,Linaria cannabina
495432,B,25,Portugal,www.xeno-canto.org/495432/download,Linaria cannabina
494895,B,11,Russian Federation,www.xeno-canto.org/494895/download,Linaria cannabina
491709,B,99,Portugal,www.xeno-canto.org/491709/download,Linaria cannabina
489909,B,11,Russian Federation,www.xeno-canto.org/489909/download,Linaria cannabina
484446,B,46,Poland,www.xeno-canto.org/484446/download,Linaria cannabina
480577,B,54,Sweden,www.xeno-canto.org/480577/download,Linaria cannabina
477825,B,64,Portugal,www.xeno-canto.org/477825/download,Linaria cannabina
477418,B,53,Belgium,www.xeno-canto.org/477418/download,Linaria cannabina
476396,B,59,Netherlands,www.xeno-canto.org/476396/download,Linaria cannabina
474908,B,59,Belgium,www.xeno-canto.org/474908/download,Linaria cannabina
470638,B,54,France,www.xeno-canto.org/470638/download,Linaria cannabina
470637,B,46,France,www.xeno-canto.org/470637/download,Linaria cannabina
467854,B,88,France,www.xeno-canto.org/467854/download,Linaria cannabina
466136,B,81,United Kingdom,www.xeno-canto.org/466136/download,Linaria cannabina
465070,B,92,Germany,www.xeno-canto.org/465070/download,Linaria cannabina
464914,B,64,Germany,www.xeno-canto.org/464914/download,Linaria cannabina
464910,B,92,Germany,www.xeno-canto.org/464910/download,Linaria cannabina
464681,B,79,Germany,www.xeno-canto.org/464681/download,Linaria cannabina
463825,B,41,United Kingdom,www.xeno-canto.org/463825/download,Linaria cannabina
433269,B,17,Sweden,www.xeno-canto.org/433269/download,Linaria cannabina
424924,B,82,Portugal,www.xeno-canto.org/424924/download,Linaria cannabina
421878,B,35,Bosnia Herzegovina,www.xeno-canto.org/421878/download,Linaria cannabina
421682,B,67,Portugal,www.xeno-canto.org/421682/download,Linaria cannabina
417959,B,26,Ireland,www.xeno-canto.org/417959/download,Linaria cannabina
414910,B,75,France,www.xeno-canto.org/414910/download,Linaria cannabina
410551,B,45,Ireland,www.xeno-canto.org/410551/download,Linaria cannabina
385177,B,49,Germany,www.xeno-canto.org/385177/download,Linaria cannabina
383268,B,19,Denmark,www.xeno-canto.org/383268/download,Linaria cannabina
383267,B,97,Denmark,www.xeno-canto.org/383267/download,Linaria cannabina
379160,B,56,France,www.xeno-canto.org/379160/download,Linaria cannabina
378213,B,11,Switzerland,www.xeno-canto.org/378213/download,Linaria cannabina
377942,B,14,Denmark,www.xeno-canto.org/377942/download,Linaria cannabina
377940,B,89,Denmark,www.xeno-canto.org/377940/download,Linaria cannabina
376170,B,58,Germany,www.xeno-canto.org/376170/download,Linaria cannabina
372934,B,56,Spain,www.xeno-canto.org/372934/download,Linaria cannabina
372933,B,18,Spain,www.xeno-canto.org/372933/download,Linaria cannabina
365618,B,25,Denmark,www.xeno-canto.org/365618/download,Linaria cannabina
365611,B,49,Denmark,www.xeno-canto.org/365611/download,Linaria cannabina
365474,B,31,France,www.xeno-canto.org/365474/download,Linaria cannabina
364927,B,22,United Kingdom,www.xeno-canto.org/364927/download,Linaria cannabina
362278,B,61,Spain,www.xeno-canto.org/362278/download,Linaria cannabina
359327,B,44,Italy,www.xeno-canto.org/359327/download,Linaria cannabina
350709,B,12,Spain,www.xeno-canto.org/350709/download,Linaria cannabina
341510,B,90,Portugal,www.xeno-canto.org/341510/download,Linaria cannabina
319990,B,19,Ukraine,www.xeno-canto.org/319990/download,Linaria cannabina
312631,B,58,United Kingdom,www.xeno-canto.org/312631/download,Linaria cannabina
306241,B,31,Ukraine,www.xeno-canto.org/306241/download,Linaria cannabina
306240,B,30,Ukraine,www.xeno-canto.org/306240/download,Linaria cannabina
293295,B,78,Sweden,www.xeno-canto.org/293295/download,Linaria cannabina
283516,B,12,Belgium,www.xeno-canto.org/283516/download,Linaria cannabina
278438,B,48,Spain,www.xeno-canto.org/278438/download,Linaria cannabina
278022,B,26,Finland,www.xeno-canto.org/278022/download,Linaria cannabina
270081,B,64,Russian Federation,www.xeno-canto.org/270081/download,Linaria cannabina
265202,B,10,Germany,www.xeno-canto.org/265202/download,Linaria cannabina
260239,B,36,Germany,www.xeno-canto.org/260239/download,Linaria cannabina
247460,B,62,Sweden,www.xeno-canto.org/247460/download,Linaria cannabina
239368,B,63,Sweden,www.xeno-canto.org/239368/download,Linaria cannabina
235501,B,85,Belgium,www.xeno-canto.org/235501/download,Linaria cannabina
234716,B,27,Belgium,www.xeno-canto.org/234716/download,Linaria cannabina
216423,B,29,Germany,www.xeno-canto.org/216423/download,Linaria cannabina
208817,B,94,Sweden,www.xeno-canto.org/208817/download,Linaria cannabina
206211,B,64,United Kingdom,www.xeno-canto.org/206211/download,Linaria cannabina
202596,B,72,United Kingdom,www.xeno-canto.org/202596/download,Linaria cannabina
202592,B,43,United Kingdom,www.xeno-canto.org/202592/download,Linaria cannabina
202588,B,34,United Kingdom,www.xeno-canto.org/202588/download,Linaria cannabina
201282,B,70,United Kingdom,www.xeno-canto.org/201282/download,Linaria cannabina
200300,B,54,United Kingdom,www.xeno-canto.org/200300/download,Linaria cannabina
199785,B,93,United Kingdom,www.xeno-canto.org/199785/download,Linaria cannabina
198815,B,65,United Kingdom,www.xeno-canto.org/198815/download,Linaria cannabina
196779,B,55,United Kingdom,www.xeno-canto.org/196779/download,Linaria cannabina
194936,B,22,United Kingdom,www.xeno-canto.org/194936/download,Linaria cannabina
190073,B,51,Russian Federation,www.xeno-canto.org/190073/download,Linaria cannabina
187046,B,81,United Kingdom,www.xeno-canto.org/187046/download,Linaria cannabina
181571,B,54,France,www.xeno-canto.org/181571/download,Linaria cannabina
172721,B,25,Germany,www.xeno-canto.org/172721/download,Linaria cannabina
172173,B,13,Poland,www.xeno-canto.org/172173/download,Linaria cannabina
167178,B,55,United Kingdom,www.xeno-canto.org/167178/download,Linaria cannabina
164138,B,70,Morocco,www.xeno-canto.org/164138/download,Linaria cannabina
149175,B,61,Netherlands,www.xeno-canto.org/149175/download,Linaria cannabina
138224,B,28,Poland,www.xeno-canto.org/138224/download,Linaria cannabina
135260,B,32,Germany,www.xeno-canto.org/135260/download,Linaria cannabina
134904,B,54,Italy,www.xeno-canto.org/134904/download,Linaria cannabina
106004,B,67,Germany,www.xeno-canto.org/106004/download,Linaria cannabina
99079,B,86,Germany,www.xeno-canto.org/99079/download,Linaria cannabina
80638,B,21,Spain,www.xeno-canto.org/80638/download,Linaria cannabina
79056,B,69,Germany,www.xeno-canto.org/79056/download,Linaria cannabina
76101,B,52,Germany,www.xeno-canto.org/76101/download,Linaria cannabina
49846,B,19,Netherlands,www.xeno-canto.org/49846/download,Linaria cannabina
47344,B,13,Netherlands,www.xeno-canto.org/47344/download,Linaria cannabina
42329,B,63,Sweden,www.xeno-canto.org/42329/download,Linaria cannabina
31720,B,24,Spain,www.xeno-canto.org/31720/download,Linaria cannabina
545995,A,40,Sweden,www.xeno-canto.org/545995/download,Regulus regulus
